,0
2365,0.12020170771596199
2366,0.12020170771596199
2367,0.12020170771596199
2368,0.12020170771596199
2369,0.12020170771596199
2370,0.12020170771596199
2371,0.12020170771596199
2372,0.12020170771596199
2373,0.12020170771596199
2374,0.12020170771596199
2375,0.12020170771596199
2376,0.12020170771596199
2377,0.12020170771596199
2378,0.12020170771596199
2379,0.12020170771596199
2380,0.12020170771596199
2381,0.12020170771596199
2382,0.12020170771596199
2383,0.12020170771596199
2384,0.12020170771596199
2385,0.12020170771596199
2386,0.12020170771596199
2387,0.12020170771596199
2388,0.12020170771596199
2389,0.12020170771596199
2390,0.12020170771596199
2391,0.12020170771596199
2392,0.12020170771596199
